rule_id,item_id,item_id_NAME_TEMP,reason_comment
RB0001,I0002,여행자보험 증서(모바일),현지 병원비·분실 사고에 대비할 수 있어요
RB0002,I0005,보조배터리,"2026년 4월부터 보조배터리는 1인 2개까지, 160Wh 이하만 가능해요. 위탁수하물에는 절대 넣을 수 없고 기내에서 몸에 지녀야 해요"
RB0003,I0047,배터리 절연테이프·개별 파우치,2025년 9월부터 리튬배터리 단자 절연이 의무예요. 절연테이프를 붙이거나 하나씩 개별 파우치·지퍼백에 넣으세요
RB0005,I0003,상비약(해열/진통/소화제),여행지에서 상비약을 못 구하면 낭패예요. 낱알로 옮기지 말고 원래 포장 그대로 가져가세요
RB0006,I0029,기초 세면도구(칫솔·치약·클렌저 등),
RB0007,I0034,여권 사본·여권용 사진 2매,여권을 잃어버리면 재발급 신청에 사본과 사진이 필요해요. 클라우드에도 한 장 올려두세요
RB0008,I0035,숙소 예약 바우처(오프라인 저장),입국심사에서 첫 숙소를 물어보는 경우가 있어요. 데이터가 안 될 때를 대비해 캡처해 두세요
RB0009,I0046,충전 케이블(기내용 짧은 것),기내에서는 보조배터리를 못 써요. 좌석 USB에 꽂을 짧은 케이블이 필요해요
RB0011,I0062,편한 운동화,여행지에서는 하루 1만 보 이상 걷게 돼요. 새 신발보다 이미 길들여진 신발이 안전해요
RB0012,I0085,밴드·소독약(상처 키트),작은 상처나 물집은 여행 중에 반드시 생겨요
RB0013,I0091,안경·여분 렌즈·렌즈 용액,현지에서 도수를 맞추기 어려워요. 렌즈 용액은 100ml 이하만 기내 반입돼요
RB0015,I0099,지퍼백·비닐봉투,젖은 옷·세면도구·전자기기를 분리하는 데 계속 쓰게 돼요
RB0016,I0040,예비 신용카드(다른 브랜드 1장),카드 한 장이 갑자기 막히는 일이 흔해요. 다른 브랜드로 한 장 더 챙기세요
RB0017,I0033,카메라,폰 카메라로 충분한 여행도 많아요. 사진이 여행의 목적이라면 챙기세요
RB0018,I0090,생리용품,여행 일정과 겹칠 수 있어요. 브랜드가 익숙한 제품은 현지에서 구하기 어려워요
RB0019,I0100,접이식 보조가방(에코백),쇼핑한 짐이나 하루 나들이용으로 유용해요. 접으면 부피가 거의 없어요
RB0021,I0154,목베개·안대,장거리 비행에서 잠을 조금이라도 자려면 있는 편이 나아요
RB0022,I0155,충전기,
RB0023,I0156,옷,
RB0024,I0157,속옷,세탁이 여의치 않을 수 있어요. 일수보다 조금 넉넉하게 챙기세요
RB0025,I0158,양말,
RB0026,I0159,작은 가방,
RB0027,I0160,기초 화장품,
RB0028,I0161,샤워 용품,
RB0029,I0173,압축 파우치,부피 큰 옷을 눌러 담으면 캐리어 한 칸이 남아요
RB0030,I0174,손톱깎이·면봉 등 위생용품,숙소에 없고 현지에서 사기도 애매한 자잘한 것들이에요
