rule_id,temp_band_id,temp_band_id_NAME_TEMP,item_id,item_id_NAME_TEMP,reason_comment
RT0001,low,최저 5도 미만,I0009,경량 패딩·방한복,예상 최저기온이 5도 미만이에요. 방한복이 필요해요
RT0002,low,최저 5도 미만,I0010,방한 모자·장갑,낮은 기온에서 손과 귀를 보호해야 해요
RT0003,low,최저 5도 미만,I0069,발열내의(베이스레이어),겉옷을 한 겹 더 입는 것보다 내의 한 겹이 훨씬 따뜻해요
RT0004,low,최저 5도 미만,I0070,두꺼운 스포츠 양말,발이 시리면 하루 종일 추워요
RT0005,low,최저 5도 미만,I0075,넥워머·버프,목으로 들어오는 찬 바람만 막아도 체감온도가 달라져요
RT0006,low,최저 5도 미만,I0094,핫팩,야외 일정이 길다면 몇 개 챙겨두면 좋아요
RT0007,low,최저 5도 미만,I0088,립밤,찬 공기와 난방으로 입술이 금방 터요
RT0008,low,최저 5도 미만,I0089,보습제·인공눈물,찬 공기와 실내 난방으로 피부가 많이 건조해져요
RT0012,high,최고 26도 이상,I0007,반팔 옷,예상 최고기온이 26도 이상이에요. 통풍이 잘 되는 옷이 필요해요
RT0013,high,최고 26도 이상,I0011,자외선차단제,높은 기온에서는 자외선과 땀 관리가 필요해요
RT0014,high,최고 26도 이상,I0065,챙 넓은 모자,그늘이 없는 곳에서는 모자 하나로 체감이 크게 달라져요
RT0015,high,최고 26도 이상,I0066,선글라스,햇빛이 강해 눈이 부셔요
RT0016,high,최고 26도 이상,I0051,휴대용 선풍기,습도가 높으면 그늘에서도 땀이 계속 나요
RT0017,high,최고 26도 이상,I0061,얇은 카디건·바람막이,바깥이 더울수록 실내 냉방이 강해요. 얇은 겉옷 하나는 꼭 챙기세요
RT0018,high,최고 26도 이상,I0063,슬리퍼·샌들,통풍이 되는 신발이 있으면 훨씬 편해요
RT0019,high,최고 26도 이상,I0170,데오드란트,습도까지 높으면 하루 만에 옷에 냄새가 배요
