rule_id,country_id,country_id_NAME_TEMP,item_id,item_id_NAME_TEMP,reason_comment
RC0001,JP,일본,I0004,해외용 멀티 어댑터,일본은 100V·A타입이라 한국 둥근 2핀이 안 들어가요. 돼지코가 꼭 필요해요
RC0006,JP,일본,I0043,동전 지갑,자판기·코인로커·사찰 참배료가 대부분 동전이라 금방 쌓여요
RC0007,JP,일본,I0039,소액권 현금(팁·잔돈용),"식권 발매기 라멘집, 노포, 사찰, 일부 버스는 아직 현금만 받아요"
RC0009,JP,일본,I0038,영문 처방전·의사 소견서,"일반의약품은 2개월분, 처방약은 1개월분까지만 반입할 수 있어요. 1개월을 넘기면 약감증명이 필요한데 발급에 3주까지 걸려요"
RC0010,JP,일본,I0027,전자담배·액상(휴대 여부 확인용),니코틴 액상은 일본에서 의약품이라 현지에서 살 수 없어요. 개인용 120ml까지 반입할 수 있으니 필요한 만큼 한국에서 챙기세요
RC0011,JP,일본,I0058,변압기(220V 전용 발열기기용),일본은 100V라 한국 220V 전용 고데기·드라이기는 제대로 안 돌아가요
RC0012,JP,일본,I0041,전자 입국신고 QR 캡처,Visit Japan Web은 선택이에요. 미리 해두면 입국·세관 줄이 짧아져요
RC0013,JP,일본,I0044,볼펜,Visit Japan Web을 안 했다면 기내에서 종이 서류를 써야 해요
RC0016,CN,중국,I0004,해외용 멀티 어댑터,중국은 220V로 같지만 A·I타입이라 한국 둥근 2핀이 안 들어가요
RC0017,CN,중국,I0045,오프라인 지도·번역 앱 다운로드,구글 지도·번역·유튜브가 차단돼요. 가오더 지도와 언어팩을 미리 받으세요
RC0018,CN,중국,I0080,휴대용 티슈(포켓 티슈),공중화장실에 휴지가 없는 곳이 아주 많아요. 포켓 티슈를 넉넉히 챙기세요
RC0019,CN,중국,I0027,전자담배·액상(휴대 여부 확인용),"중국은 전자담배 기기 2대, 팟 6개, 액상 총 12ml까지만 허용돼요. 30ml 액상 한 병도 초과라 대부분 압수 대상이에요"
RC0023,CN,중국,I0028,손소독제·개인 물티슈,비누가 비치되지 않은 화장실이 많아요
RC0024,CN,중국,I0082,지사제·정장제,수돗물을 마실 수 없고 음식이 안 맞는 경우가 많아요. 얼음과 생채소도 조심하세요
RC0025,CN,중국,I0087,KF94 마스크,북부와 겨울철 미세먼지가 심해요. 호흡기가 약하면 꼭 챙기세요
RC0026,CN,중국,I0038,영문 처방전·의사 소견서,에페드린이 든 감기약은 규제 대상이에요. 처방약은 영문 처방전과 함께 원래 포장 그대로 가져가세요
RC0027,CN,중국,I0041,전자 입국신고 QR 캡처,2025년 11월부터 외국인 입국카드 온라인 제출이 시작됐어요. QR을 캡처해 두면 현지 네트워크가 불안정해도 괜찮아요
RC0028,CN,중국,I0039,소액권 현금(팁·잔돈용),알리페이·위챗페이가 압도적이에요. 현금은 여행 자금의 10%면 충분해요
RC0029,VN,베트남,I0025,벌레기피제,2026년 뎅기열 환자가 전년의 약 2배로 늘었고 성인 환자가 절반을 넘어요. 낮에 무는 모기라 주간에도 발라야 해요
RC0030,VN,베트남,I0041,전자 입국신고 QR 캡처,2026년 4월부터 베트남도 디지털 사전신고가 시작됐어요. 도착 72시간 이내에 prearrival.immigration.gov.vn에서 무료로 제출하세요
RC0031,VN,베트남,I0039,소액권 현금(팁·잔돈용),길거리 음식·재래시장·쎄옴은 현금만 받아요. 큰 지폐는 미리 쪼개두세요
RC0032,VN,베트남,I0027,전자담배·액상(휴대 여부 확인용),2025년 1월부터 전자담배 소지와 사용이 전면 금지예요. 관광객도 최대 200만 동 벌금과 압수 대상이에요
RC0034,VN,베트남,I0080,휴대용 티슈(포켓 티슈),공중화장실에 휴지가 없거나 유료예요. 쓴 휴지는 옆 휴지통에 버려요
RC0035,VN,베트남,I0082,지사제·정장제,수돗물을 마실 수 없어요. 생고기와 생해산물은 피하는 게 좋아요
RC0036,VN,베트남,I0038,영문 처방전·의사 소견서,"향정신성 의약품은 10일분, 마약류 성분은 7일분까지만 허용돼요. 태국보다 훨씬 엄격하니 최소량만 챙기세요"
RC0037,VN,베트남,I0093,벌레 물림 치료제,모기에 물릴 일이 많아요. 긁어서 덧나는 걸 막아줘요
RC0038,VN,베트남,I0073,우비·판초,"중부(다낭·호이안)는 10~11월에 태풍과 홍수가, 남부는 오후 스콜이 잦아요"
