rule_id,weather_condition_id,weather_condition_id_NAME_TEMP,item_id,item_id_NAME_TEMP,reason_comment
RW0001,sunny,맑음,I0011,자외선차단제,맑은 날이 많아 자외선 노출이 커요
RW0002,sunny,맑음,I0066,선글라스,햇빛이 강하면 눈도 금방 피로해져요
RW0003,sunny,맑음,I0065,챙 넓은 모자,얼굴과 목뒤를 가려주면 자외선차단제를 덜 덧발라도 돼요
RW0004,cloudy,구름,I0061,얇은 카디건·바람막이,구름이 많으면 체감온도가 예보보다 낮게 느껴져요
RW0005,cloudy,구름,I0011,자외선차단제,흐린 날에도 자외선은 그대로 내려와요
RW0006,windy,바람,I0075,넥워머·버프,바람이 강하면 목과 얼굴이 가장 먼저 시려워요
RW0009,windy,바람,I0065,챙 넓은 모자,바람이 강하면 자꾸 날아가요. 끈이 있거나 딱 맞는 모자가 나아요
RW0010,rain,비,I0006,우산 또는 우비,비 예보가 있어요. 우산이나 우비를 챙기세요
RW0011,rain,비,I0012,방수팩(드라이백),비 오는 날 전자기기를 젖지 않게 보관할 수 있어요
RW0012,rain,비,I0074,방수 재킷(레인셸),우산을 쓰기 어려운 이동이 많다면 방수 재킷이 더 편해요
RW0013,rain,비,I0063,슬리퍼·샌들,신발이 젖었을 때 갈아 신을 게 있으면 하루가 편해져요
RW0014,snow,눈,I0009,경량 패딩·방한복,눈 예보가 있어요. 방한 장비가 필요해요
RW0015,snow,눈,I0010,방한 모자·장갑,눈이 오면 손과 귀가 가장 먼저 시려워요
RW0016,snow,눈,I0070,두꺼운 스포츠 양말,눈길에서는 발이 젖고 시려워요. 여분까지 챙기세요
RW0017,snow,눈,I0094,핫팩,야외에 오래 있으면 손발이 금방 굳어요
RW0018,snow,눈,I0088,립밤,눈에 반사된 자외선과 찬 바람으로 입술이 트기 쉬워요
RW0019,snow,눈,I0066,선글라스,설면 반사가 생각보다 강해요
RW0020,sunny,맑음,I0163,양산,그늘이 없는 구간에서 체감온도를 크게 낮춰줘요
