분류,이름,화면 페이지,비고,코드,상태
"수정, 중요",뒤로가기로 B-01 페이지로 이동 시 다시 들어오면 기존 선택한 컨텍스트가 유지 해제,A-01,,CHG-001,수정대기
수정,이동 버튼 위치가 다름(년/달 행간도 함께 수정),A-02,디자인 가이드에 추가 명세,CHG-002,수정대기
"수정, 중요",체크리스트 생성하기 버튼 동작 → B-01 페이지로 이동,A-03,,CHG-003,수정대기
수정,"아이콘 버튼 크기, 정렬 수정","B-01, C-01, E-01","디자인 가이드에 추가 명세
  • 미트볼, 케밥, 하트, 편집, 삭제",CHG-007,수정대기
추가,생성되고 한 번도 보지 않은 리스트 new 표시,B-01,디자인 가이드에 추가 명세,CHG-006,수정대기
수정,"일정 공유하기 버튼 hover/클릭(더 대비 크게) 시 색 변경, 토스트 하단 노출 필요",B-01,디자인 가이드에 추가 명세,CHG-005,수정대기
"수정, 중요",‘일정 링크가 복사되었습니다’ 토스트 알림 상단 표시에서 하단 표시로 변경,B-01,,CHG-004,수정대기
추가,"카테고리명 말줄임 표시 없이, 줄바꿈하여 전부 표시",C-01,,CHG-040,수정대기
"수정, 중요",텍스트 필드 30자 이상 시 텍스트가 …로 짤림. 2줄 이상 전부 노출되도록 수정,C-01,,CHG-023,수정대기
추가,기존 트리플 체크리스트에 링크를 통해 상품 페이지로 연결되는 것 반영,C-01,방식 및 추가 여부는 다시 한번 고려,CHG-022,수정대기
추가,"화면을 위로 올릴 때 하단 플로팅 카운터가 올라와 보이고, 화면을 아래로 내리면 하단으로 사라짐(스크롤 방향에 따라 올라오고 내려오는 애니메이션)",C-01,디자인 가이드에 추가 명세,CHG-021,수정대기
"수정, 중요",아이템 설명 및 추천 사유 말줄임 표시 없이 모든 텍스트 노출로 수정,C-01,,CHG-019,수정대기
"수정, 중요","카테고리, 아이템 영역 mousedown 시 active 색상 처리 안되도록 수정",C-01,,CHG-018,수정대기
"수정, 중요","아이템 영역 전체 클릭 시(’찜’, ‘이름 편집’, ‘삭제’ 등 버튼 제외) 체크 되도록","C-01, F-01",,CHG-017,수정대기
삭제,드래그 앤 드롭으로 아이템의 위치 변경 삭제,C-01,,CHG-016,수정대기
삭제,아이템 체크 시 리스트 하단으로 정렬 이동하는 기능 삭제,C-01,,CHG-015,수정대기
"중요, 추가",나만의 준비물이 다른 여행과 연동되지 않음 (종료한 여행 제외),C-01,,CHG-014,수정대기
"중요, 추가",제출한 CSV 데이터가 전혀 사용되지 않음,C-01,기능명세서 5번에 csv.zip 항목,CHG-013,수정대기
"중요, 추가",카테고리와 아이템 사이 구분선 없음,C-01,,CHG-012,수정대기
추가,찜한 상품이 있는 카테고리를 상단에 우선적으로 정렬 후 없는 카테고리 나열,C-01,,CHG-009,수정대기
"삭제, 중요",필터에 해당하는 항목이 없으면 아이템 추가 버튼 제외 나머지 부분(회색박스) 삭제,"C-01, C-04"," ",CHG-008,수정대기
"수정, 중요",광고 캐러셀 하단 라인 안보임,C-02,,CHG-010,수정대기
수정,“여행 준비 체크리스트” 상단 타이틀 볼드 처리,C-02,," ",수정대기
수정,캐러셀 PC 브라우저 마우스 드래그로 동작 안함,C-02,,CHG-011,수정대기
"수정, 중요",http://Open-meteo.com 링크 안들어가있음(언더라인도 필요). 클릭시 이동되도록,C-03,,CHG-024,수정대기
추가,“활동”에 속한 카테고리 추가 시 해당하는 아이템과 함께 추가되어야 함,D-01,,CHG-027,수정대기
"중요, 추가",30자 이상 입력 시 토스트 노출,D-01,,CHG-026,수정대기
"수정, 중요",직접 입력 다이얼로그 UI 이상 수정,D-01,"  • 입력 필드 커서 위치 이상
  • 글자가 입력 필드 넘어갈 시 줄바꿈",CHG-025,수정대기
수정,편집 화면 내 삭제율이 높은 아이템의 코멘트 변경,E-01,,CHG-046,수정대기
"중요, 추가",편집모드 진입 시 자동 전부 펼치기로 전환,E-01,,CHG-030,수정대기
수정,아이템 개별 삭제 시 ‘삭제 안내/되돌리기’ 토스트 위치 하단으로 변경,E-01,,CHG-029,수정대기
수정,"편집모드 이전 버튼 삭제, 완료 버튼 추가",E-01,디자인 가이드에 추가 명세,CHG-028,수정대기
수정,"아이템 이름 수정 시, 기존 직접 입력 다이얼로그가 아닌 추가 input flow와 동일하게 변경",E-02,디자인 가이드에 추가 명세,CHG-031,수정대기
삭제,편집 모드 시 아이템 추가 필드 삭제,F-01,,CHG-033,수정대기
"수정, 중요",편집 모드 시 삭제 플로팅바 상시 노출,F-01,,CHG-032,수정대기
"수정, 중요",텍스트 필드 미입력 시 + 버튼 비활성화,G-01,,CHG-034,수정대기
수정,아이템 추가 포커스 자동 이동,G-01,명세만 수정,CHG-037,수정대기
"중요, 추가",텍스트 필드 영역 바깥 선택 시 아이템 추가 취소(입력된 값이 있을 때는 입력값 유지),G-01,,CHG-036,수정대기
"중요, 추가",텍스트 필드 30자 이상 입력 시 토스트 노출,G-01,,CHG-035,수정대기
추가,같은 조건으로 일정 재생성,EC,,CHG-044,수정대기
수정,"생성 처리 지연, 생성 실패 토스트",EC,,CHG-043,수정대기
"중요, 추가",여행 일정 없이 체크리스트만 시도 진입,EC,,CHG-038,수정대기
수정,로딩 화면 정의,ETC,,CHG-045,수정대기
수정,아이템 데이터 고도화,ETC,,CHG-042,3차에서 진행
수정,파비콘 변경,ETC,기능 명세서에 파일 추가,CHG-041,수정대기
수정,완전 서버사이드 저장. 쿠키를 통해 마지막 접속한 일정 홈으로 접속 되도록,ETC,,CHG-039,수정대기
