rule_id,activity_id,activity_id_NAME_TEMP,item_id,item_id_NAME_TEMP,reason_comment
RA0001,photo,사진 여행,I0033,카메라,사진 여행의 핵심이에요. 현지 대여는 언어와 보증금 장벽이 커요
RA0002,photo,사진 여행,I0053,카메라 여분 배터리,저온·장시간 촬영에서 빨리 닳아요. 리튬배터리는 위탁 금지예요
RA0003,photo,사진 여행,I0052,여분 메모리카드·카드리더기,카드가 손상되거나 꽉 차면 여행 중에는 복구할 방법이 없어요
RA0004,photo,사진 여행,I0022,삼각대·짐벌,야경과 풍경을 안정적으로 찍어요. 삼각대를 금지하는 시설도 많아요
RA0008,photo,사진 여행,I0012,방수팩(드라이백),갑작스러운 비나 폭포·해변의 물보라에 대비할 수 있어요
RA0010,camping,캠핑,I0049,손전등·헤드랜턴,야간에 화장실을 가거나 설거지를 하려면 손이 자유로워야 해요
RA0012,camping,캠핑,I0024,텐트·침낭,한국·일본 캠핑장은 대부분 풀세트 렌탈이 있어요. 현지 대여가 나을 수 있어요
RA0013,camping,캠핑,I0144,침낭 라이너,대여 침낭의 위생이 신경 쓰일 때 유용하고 부피도 작아요
RA0014,camping,캠핑,I0074,방수 재킷(레인셸),산간 캠핑장은 일교차가 크고 소나기가 잦아요
RA0015,camping,캠핑,I0063,슬리퍼·샌들,텐트를 드나들거나 샤워장에 갈 때 편해요
RA0016,camping,캠핑,I0025,벌레기피제,밤에 모기와 벌레가 몰려요
RA0017,camping,캠핑,I0107,접이식 의자,캠핑장 렌탈은 사이트당 개수 제한이 있는 경우가 많아요
RA0018,camping,캠핑,I0108,보온병,밤과 새벽에 따뜻한 음료가 있으면 체온 유지에 도움이 돼요
RA0019,hiking,하이킹·등산,I0015,등산화,
RA0020,hiking,하이킹·등산,I0070,두꺼운 스포츠 양말,면양말은 젖으면 마찰이 커져 물집이 생겨요. 울이나 합성 소재로 여분까지 챙기세요
RA0021,hiking,하이킹·등산,I0086,물집 예방 테이프,마찰이 생기는 부위에 미리 붙여두는 게 가장 확실한 예방이에요
RA0022,hiking,하이킹·등산,I0049,손전등·헤드랜턴,당일 산행이라도 하산이 늦어질 수 있어요
RA0023,hiking,하이킹·등산,I0074,방수 재킷(레인셸),산 날씨는 급격히 바뀌어요
RA0024,hiking,하이킹·등산,I0016,등산 스틱,무릎 부담을 크게 줄여줘요. 기내 반입은 안 되니 위탁수하물에 넣으세요
RA0025,hiking,하이킹·등산,I0109,행동식(에너지바·견과),
RA0026,hiking,하이킹·등산,I0045,오프라인 지도·번역 앱 다운로드,산에서는 데이터가 안 터져요. 코스 지도를 미리 내려받으세요
RA0027,hiking,하이킹·등산,I0065,챙 넓은 모자,고도가 100m 오를 때마다 자외선이 강해져요
RA0028,hiking,하이킹·등산,I0146,게이터(각반),"자갈, 눈, 진흙이 신발 안으로 들어오는 걸 막아줘요"
RA0029,golf,골프,I0135,골프 장갑,사이즈가 개인마다 달라 대여 세트에 들어 있지 않아요. 부피도 없으니 2~3개 챙기세요
RA0030,golf,골프,I0079,칼라 있는 셔츠(골프 드레스코드),해외 코스는 대부분 칼라 셔츠를 요구해요. 데님·티셔츠·샌들은 금지예요
RA0031,golf,골프,I0017,골프 클럽(위탁수하물 별도 신고),해외 코스는 대부분 대여를 운영해요. 4회 이상 라운드가 아니면 대여가 나아요
RA0032,golf,골프,I0136,골프화,메탈 스파이크는 대부분 금지라 소프트 스파이크만 돼요. 일본은 대여도 돼요
RA0033,golf,골프,I0011,자외선차단제,동남아 라운드는 4.5~5.5시간 동안 그늘 없이 걸어요
RA0034,golf,골프,I0065,챙 넓은 모자,라운드 내내 햇볕을 그대로 받아요
RA0035,golf,골프,I0039,소액권 현금(팁·잔돈용),동남아는 캐디가 필수 배정이고 캐디피와 팁을 현금으로 따로 줘요
RA0036,golf,골프,I0073,우비·판초,동남아는 오후 스콜이 잦아요
RA0037,swimming,수영·물놀이,I0013,수영복,물놀이 활동의 필수품이에요. 젖은 수영복을 다시 입지 않으려면 2벌이 좋아요
RA0038,swimming,수영·물놀이,I0012,방수팩(드라이백),물놀이 중 휴대폰과 지갑을 안전하게 보관할 수 있어요
RA0039,swimming,수영·물놀이,I0071,수영모,"일본, 프랑스, 한국의 공공 수영장은 수영모 착용이 사실상 의무예요"
RA0040,swimming,수영·물놀이,I0064,래시가드,"자외선 차단이 확실하고, 일본에서는 문신 가리개로도 쓸 수 있어요"
RA0041,swimming,수영·물놀이,I0072,아쿠아슈즈·물놀이 신발,"산호, 뜨거운 데크, 미끄러운 바닥에서 발을 보호해요"
