map_id,item_id,item_id_NAME_TEMP,category_id,category_id_NAME_TEMP
M0001,I0001,여권,essential,필수
M0002,I0030,항공권(모바일 e-티켓),essential,필수
M0003,I0031,해외 결제 가능 카드,essential,필수
M0004,I0032,eSIM 또는 로밍 데이터,essential,필수
M0005,I0036,왕복·제3국행 항공권 증빙,essential,필수
M0180,I0178,환전,essential,필수
M0006,I0004,해외용 멀티 어댑터,base,기본
M0007,I0043,동전 지갑,base,기본
M0008,I0039,소액권 현금(팁·잔돈용),base,기본
M0009,I0038,영문 처방전·의사 소견서,base,기본
M0010,I0027,전자담배·액상(휴대 여부 확인용),base,기본
M0011,I0058,변압기(220V 전용 발열기기용),base,기본
M0012,I0041,전자 입국신고 QR 캡처,base,기본
M0013,I0044,볼펜,base,기본
M0014,I0045,오프라인 지도·번역 앱 다운로드,base,기본
M0015,I0080,휴대용 티슈(포켓 티슈),base,기본
M0016,I0028,손소독제·개인 물티슈,base,기본
M0017,I0082,지사제·정장제,base,기본
M0018,I0087,KF94 마스크,base,기본
M0019,I0025,벌레기피제,base,기본
M0020,I0093,벌레 물림 치료제,base,기본
M0021,I0073,우비·판초,base,기본
M0022,I0009,경량 패딩·방한복,base,기본
M0023,I0095,말라리아 예방약,base,기본
M0024,I0092,리프세이프(무기자차) 자외선차단제,base,기본
M0025,I0068,긴바지·롱스커트,base,기본
M0026,I0049,손전등·헤드랜턴,base,기본
M0027,I0074,방수 재킷(레인셸),base,기본
M0028,I0061,얇은 카디건·바람막이,base,기본
M0029,I0037,국제운전면허증,base,기본
M0030,I0088,립밤,base,기본
M0031,I0169,알리페이·위챗페이 사전 등록,base,기본
M0032,I0171,비자·입국 요건 확인,base,기본
M0033,I0172,VPN 앱 사전 설치,base,기본
M0034,I0022,삼각대·짐벌,base,기본
M0035,I0147,셀카봉,base,기본
M0036,I0048,멀티탭,base,기본
M0037,I0106,돗자리,base,기본
M0038,I0078,포멀 의상(정장·드레스),base,기본
M0039,I0019,기저귀·물티슈,base,기본
M0040,I0148,유아 간식·분유·이유식,base,기본
M0041,I0150,아이 상비약(해열제·체온계),base,기본
M0042,I0018,유모차,base,기본
M0043,I0149,아기띠,base,기본
M0044,I0021,부모님 개인 처방약,base,기본
M0045,I0151,부모님 편의용품(편한 신발·목베개),base,기본
M0046,I0107,접이식 의자,base,기본
M0047,I0084,멀미약,base,기본
M0048,I0020,반려동물 이동장,base,기본
M0049,I0153,반려동물 검역증명서,base,기본
M0050,I0152,반려동물 사료·배변봉투,base,기본
M0051,I0166,비상연락처 카드·위치공유 설정,base,기본
M0052,I0167,도어스토퍼·휴대용 문잠금,base,기본
M0053,I0168,반려동물 리드줄·하네스·인식표,base,기본
M0054,I0011,자외선차단제,base,기본
M0055,I0066,선글라스,base,기본
M0056,I0065,챙 넓은 모자,base,기본
M0057,I0075,넥워머·버프,base,기본
M0058,I0006,우산 또는 우비,base,기본
M0059,I0012,방수팩(드라이백),base,기본
M0060,I0063,슬리퍼·샌들,base,기본
M0061,I0010,방한 모자·장갑,base,기본
M0062,I0070,두꺼운 스포츠 양말,base,기본
M0063,I0094,핫팩,base,기본
M0064,I0163,양산,base,기본
M0065,I0069,발열내의(베이스레이어),base,기본
M0066,I0089,보습제·인공눈물,base,기본
M0067,I0007,반팔 옷,base,기본
M0068,I0051,휴대용 선풍기,base,기본
M0069,I0170,데오드란트,base,기본
M0070,I0002,여행자보험 증서(모바일),base,기본
M0071,I0005,보조배터리,base,기본
M0072,I0047,배터리 절연테이프·개별 파우치,base,기본
