rule_id,companion_id,companion_id_NAME_TEMP,item_id,item_id_NAME_TEMP,reason_comment
RM0002,alone,혼자,I0022,삼각대·짐벌,
RM0003,alone,혼자,I0147,셀카봉,
RM0004,friend,친구와,I0048,멀티탭,한 방에서 여러 명이 충전하려면 어댑터 하나에 멀티탭을 물리는 게 제일 편해요
RM0005,friend,친구와,I0106,돗자리,야외에서 다 같이 앉아 쉴 때 유용해요
RM0006,friend,친구와,I0147,셀카봉,
RM0007,lover,연인과,I0022,삼각대·짐벌,
RM0008,lover,연인과,I0078,포멀 의상(정장·드레스),기념일 디너나 드레스코드가 있는 레스토랑을 예약했다면 필요해요
RM0009,lover,연인과,I0147,셀카봉,
RM0010,spouse,배우자와,I0022,삼각대·짐벌,
RM0011,spouse,배우자와,I0048,멀티탭,둘이 쓰면 콘센트가 늘 부족해요
RM0012,spouse,배우자와,I0078,포멀 의상(정장·드레스),드레스코드가 있는 레스토랑이나 공연을 예약했다면 필요해요
RM0013,child,아이와,I0019,기저귀·물티슈,아이 동반 여행의 필수품이에요
RM0014,child,아이와,I0148,유아 간식·분유·이유식,유아용 분유·이유식은 기내 액체 규정 예외예요. 검색대에 신고하세요
RM0015,child,아이와,I0150,아이 상비약(해열제·체온계),아이 용량에 맞는 해열제는 현지에서 구하기 어려워요. 체온계도 함께 챙기세요
RM0016,child,아이와,I0018,유모차,아이와 장거리 이동 시 유모차가 있으면 훨씬 편해요
RM0017,child,아이와,I0149,아기띠,"유모차가 못 들어가는 좁은 골목, 계단, 대중교통이 생각보다 많아요"
RM0020,parent,부모님과,I0021,부모님 개인 처방약,평소 드시는 약은 현지에서 구할 수 없어요. 여유분과 영문 처방전을 함께 챙기세요
RM0021,parent,부모님과,I0151,부모님 편의용품(편한 신발·목베개),하루 1만~2만 보를 걷게 돼요. 새 신발보다 평소 신던 신발이 안전해요
RM0022,parent,부모님과,I0107,접이식 의자,오래 서 계시기 힘들 수 있어요. 가벼운 접이식 의자가 있으면 좋아요
RM0023,parent,부모님과,I0084,멀미약,장거리 버스나 보트 이동이 있으면 미리 챙기세요
RM0024,pet,반려동물과,I0020,반려동물 이동장,반려동반 여행은 항공사·현지 규정상 이동장이 꼭 필요해요
RM0025,pet,반려동물과,I0153,반려동물 검역증명서,검역증명서와 광견병 예방접종 증명이 없으면 탑승 자체가 안 돼요. 국가별로 사전 신청 기간이 다르니 최소 한 달 전에 확인하세요
RM0026,pet,반려동물과,I0152,반려동물 사료·배변봉투,현지에서 평소 먹던 사료를 구하기 어려워요. 갑작스러운 사료 변경은 배탈로 이어져요
RM0027,alone,혼자,I0166,비상연락처 카드·위치공유 설정,사고가 나도 대신 알려줄 사람이 없어요. 가족과 실시간 위치를 공유하고 영사콜센터(+82-2-3210-0404)를 저장해 두세요
RM0028,alone,혼자,I0167,도어스토퍼·휴대용 문잠금,혼자 묵는 숙소는 잠금장치를 믿기 어려워요. 문 안쪽에 하나 더 걸어두세요
RM0029,pet,반려동물과,I0168,반려동물 리드줄·하네스·인식표,보안검색대에서는 이동장에서 꺼내 안고 통과해요. 놓치지 않게 하네스를 채우고 인식표에 현지 연락처를 적어 두세요
