item_id,item_name,is_purchasable,item_desc,link_count,link_note
I0001,여권,N,유효기간 6개월 이상 남았는지 함께 확인,,
I0002,여행자보험 증서(모바일),Y,,1,인터넷으로 가입하는 것이 가장 저렴해요. 트리플에서 빠르게 가입하고 안전하게 해외로 떠나세요!
I0003,상비약(해열/진통/소화제),Y,,,
I0004,해외용 멀티 어댑터,Y,콘센트 모양이 다른 국가용,,
I0005,보조배터리,Y,"기내 반입만 가능, 위탁 금지",,
I0006,우산 또는 우비,Y,,,
I0007,반팔 옷,Y,,,
I0009,경량 패딩·방한복,Y,,,
I0010,방한 모자·장갑,Y,,,
I0011,자외선차단제,Y,,,
I0012,방수팩(드라이백),Y,,,
I0013,수영복,Y,,,
I0014,물안경,Y,,,
I0015,등산화,Y,,,
I0016,등산 스틱,Y,"기내 반입 불가, 위탁수하물만 가능",,
I0017,골프 클럽(위탁수하물 별도 신고),N,항공사별 위탁 규정 사전 확인 필요,,
I0018,유모차,N,,,
I0019,기저귀·물티슈,Y,,,
I0020,반려동물 이동장,N,,,
I0021,부모님 개인 처방약,N,"부모님 본인만 준비 가능, 여유분 권장",,
I0022,삼각대·짐벌,Y,,,
I0023,어깨·무릎 가리는 겉옷,Y,사원 등 종교시설 복장 규정 대응,,
I0024,텐트·침낭,Y,,,
I0025,벌레기피제,Y,,,
I0027,전자담배·액상(휴대 여부 확인용),N,국가별 반입 가능 여부가 크게 다름,,
I0028,손소독제·개인 물티슈,Y,,,
I0029,기초 세면도구(칫솔·치약·클렌저 등),Y,,,
I0030,항공권(모바일 e-티켓),N,탑승 수속·입국 심사에 필요,,
I0031,해외 결제 가능 카드,N,해외 결제·ATM 출금 가능 여부 확인,1,
I0032,eSIM 또는 로밍 데이터,Y,지도·번역·예약 확인 등에 필요,3,"트리플을 통해 예약하면 포켓 와이파이는 10~30%, 유심은 최대 10% 할인받을 수 있어요."
I0033,카메라,N,,,
I0034,여권 사본·여권용 사진 2매,N,여권 분실 시 재발급 신청에 필요,,
I0035,숙소 예약 바우처(오프라인 저장),N,입국심사에서 제시를 요구받을 수 있음,,
I0036,왕복·제3국행 항공권 증빙,N,편도 항공권만으로 입국이 거부되는 국가가 있음,,
I0037,국제운전면허증,N,발급에 시간이 걸리므로 출발 전 준비,,
I0038,영문 처방전·의사 소견서,N,처방약 통관과 기내 액체 예외 처리에 필요,,
I0039,소액권 현금(팁·잔돈용),N,현지에서 소액권으로 바꾸기 어려운 경우가 많음,,
I0040,예비 신용카드(다른 브랜드 1장),N,카드 결제 거절·분실 대비,,
I0041,전자 입국신고 QR 캡처,N,국가별 사전 입국신고 시스템 제출 후 화면 저장,,
I0043,동전 지갑,Y,동전 사용이 잦은 국가용,,
I0044,볼펜,Y,종이 입국신고서·세관신고서 작성용,,
I0045,오프라인 지도·번역 앱 다운로드,N,데이터가 안 되거나 차단되는 곳 대비,,
I0046,충전 케이블(기내용 짧은 것),Y,기내 보조배터리 사용 금지에 대응,,
I0047,배터리 절연테이프·개별 파우치,Y,2025년 9월부터 리튬배터리 절연 의무화,,
I0048,멀티탭,Y,어댑터 1개로 여러 기기를 충전,,
I0049,손전등·헤드랜턴,Y,,,
I0050,노이즈캔슬링 이어폰·귀마개,Y,,,
I0051,휴대용 선풍기,Y,프리볼트 충전식인지 확인,,
I0052,여분 메모리카드·카드리더기,Y,,,
I0053,카메라 여분 배터리,Y,"리튬배터리는 위탁 금지, 기내 휴대만 가능",,
I0058,변압기(220V 전용 발열기기용),Y,무겁고 실패율이 높아 마지막 수단,,
I0061,얇은 카디건·바람막이,Y,실내 냉방·일교차 대응,,
I0062,편한 운동화,Y,,,
I0063,슬리퍼·샌들,Y,,,
I0064,래시가드,Y,자외선 차단 + 문신 가림 겸용,,
I0065,챙 넓은 모자,Y,,,
I0066,선글라스,Y,,,
I0067,스카프·숄,Y,어깨·머리 가리개와 냉방 대비 겸용,,
I0068,긴바지·롱스커트,Y,종교시설 복장 규정 대응,,
I0069,발열내의(베이스레이어),Y,면 소재는 땀이 마르지 않아 부적합,,
I0070,두꺼운 스포츠 양말,Y,"울·합성 소재, 면 금지",,
I0071,수영모,Y,,,
I0072,아쿠아슈즈·물놀이 신발,Y,,,
I0073,우비·판초,Y,우산 사용이 어려운 곳 대응,,
I0074,방수 재킷(레인셸),Y,,,
I0075,넥워머·버프,Y,,,
I0076,벗고 신기 쉬운 신발,Y,신발을 자주 벗는 문화권 대응,,
I0078,포멀 의상(정장·드레스),N,드레스코드가 있는 자리 대응,,
I0079,칼라 있는 셔츠(골프 드레스코드),Y,,,
I0080,휴대용 티슈(포켓 티슈),Y,화장실에 휴지가 없는 국가 대응,,
I0082,지사제·정장제,Y,,,
I0084,멀미약,Y,승선·승차 30분~1시간 전 복용,,
I0085,밴드·소독약(상처 키트),Y,,,
I0086,물집 예방 테이프,Y,마찰 부위에 미리 붙이는 용도,,
I0087,KF94 마스크,Y,,,
I0088,립밤,Y,,,
I0089,보습제·인공눈물,Y,,,
I0090,생리용품,Y,,,
I0091,안경·여분 렌즈·렌즈 용액,N,렌즈 용액은 100ml 이하만 기내 반입,,
I0092,리프세이프(무기자차) 자외선차단제,Y,산화아연·이산화티타늄 성분,,
I0093,벌레 물림 치료제,Y,,,
I0094,핫팩,Y,,,
I0095,말라리아 예방약,N,출국 전 처방 필요,,
I0099,지퍼백·비닐봉투,Y,,,
I0100,접이식 보조가방(에코백),Y,,,
I0101,속건 타월,Y,,,
I0105,투명 가방(클리어백),Y,페스티벌 반입 규정 대응,,
I0106,돗자리,Y,,,
I0107,접이식 의자,Y,,,
I0108,보온병,Y,,,
I0109,행동식(에너지바·견과),Y,,,
I0135,골프 장갑,Y,대여 세트에 포함되지 않음,,
I0136,골프화,Y,메탈 스파이크는 대부분 금지,,
I0137,스키·보드 고글,Y,위생상 대여하지 않는 곳이 대부분,,
I0138,방수 스키 장갑,Y,위생상 대여하지 않는 곳이 대부분,,
I0142,문신 커버 씰,Y,"방수·내열 타입, 엽서 크기까지만 실효",,
I0143,머리끈,Y,,,
I0144,침낭 라이너,Y,대여 침낭 위생 대비,,
I0146,게이터(각반),Y,,,
I0147,셀카봉,Y,반입·사용 금지 시설이 많음,,
I0148,유아 간식·분유·이유식,Y,기내 액체 규정 예외 대상,,
I0149,아기띠,N,,,
I0150,아이 상비약(해열제·체온계),Y,아이 용량 제품은 현지 조달이 어려움,,
I0151,부모님 편의용품(편한 신발·목베개),Y,,,
I0152,반려동물 사료·배변봉투,Y,,,
I0153,반려동물 검역증명서,N,출국 최소 한 달 전 준비 시작,,
I0154,목베개·안대,Y,,,
I0155,충전기,Y,,,
I0156,옷,Y,,,
I0157,속옷,Y,,,
I0158,양말,Y,,,
I0159,작은 가방,Y,,,
I0160,기초 화장품,Y,,,
I0161,샤워 용품,Y,,,
I0162,스노클 장비,Y,,,
I0163,양산,Y,,,
I0164,개인 식기·수저·컵,Y,,,
I0165,등산 배낭,Y,당일 산행 기준 20~30L,,
I0166,비상연락처 카드·위치공유 설정,N,영사콜센터 +82-2-3210-0404,,
I0167,도어스토퍼·휴대용 문잠금,Y,,,
I0168,반려동물 리드줄·하네스·인식표,Y,,,
I0169,알리페이·위챗페이 사전 등록,N,출국 전 여권 실명인증까지,,
I0170,데오드란트,Y,,,
I0171,비자·입국 요건 확인,N,출발 전 대사관 공지 재확인,,
I0172,VPN 앱 사전 설치,N,한국 로밍·해외 eSIM 사용 시 불필요,,
I0173,압축 파우치,Y,,,
I0174,손톱깎이·면봉 등 위생용품,Y,,,
I0175,헤어캡(샤워캡),Y,,,
I0176,개인 수건,Y,,,
I0177,신발 주머니,Y,,,
